,original_summary,token,Porter_Stemmer,WordNet_Lemmatizer
15,Definitely Not For The Seasoned Piano Player,"['Definitely', 'Not', 'For', 'The', 'Seasoned', 'Piano', 'Player']","['definit', 'not', 'for', 'the', 'season', 'piano', 'player']","['Definitely', 'Not', 'For', 'The', 'Seasoned', 'Piano', 'Player']"
16,Durable Instrument Cable,"['Durable', 'Instrument', 'Cable']","['durabl', 'instrument', 'cabl']","['Durable', 'Instrument', 'Cable']"
17,fender 18 ft. Cali clear...,"['fender', '18', 'ft.', 'Cali', 'clear', '...']","['fender', '18', 'ft.', 'cali', 'clear', '...']","['fender', '18', 'ft.', 'Cali', 'clear', '...']"
18,So far so good.  Will revisit at the 6 month mark ;),"['So', 'far', 'so', 'good', '.', 'Will', 'revisit', 'at', 'the', '6', 'month', 'mark', ';', ')']","['so', 'far', 'so', 'good', '.', 'will', 'revisit', 'at', 'the', '6', 'month', 'mark', ';', ')']","['So', 'far', 'so', 'good', '.', 'Will', 'revisit', 'at', 'the', '6', 'month', 'mark', ';', ')']"
19,Add California to the name and I jump!,"['Add', 'California', 'to', 'the', 'name', 'and', 'I', 'jump', '!']","['add', 'california', 'to', 'the', 'name', 'and', 'i', 'jump', '!']","['Add', 'California', 'to', 'the', 'name', 'and', 'I', 'jump', '!']"
20,"Cheap and cool looking, good length","['Cheap', 'and', 'cool', 'looking', ',', 'good', 'length']","['cheap', 'and', 'cool', 'look', ',', 'good', 'length']","['Cheap', 'and', 'cool', 'looking', ',', 'good', 'length']"
21,Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue,"['Fender', '18', 'Feet', 'California', 'Clear', 'Instrument', 'Cable', '-', 'Lake', 'Placid', 'Blue']","['fender', '18', 'feet', 'california', 'clear', 'instrument', 'cabl', '-', 'lake', 'placid', 'blue']","['Fender', '18', 'Feet', 'California', 'Clear', 'Instrument', 'Cable', '-', 'Lake', 'Placid', 'Blue']"
22,Guitar Cable,"['Guitar', 'Cable']","['guitar', 'cabl']","['Guitar', 'Cable']"
23,Quality cable!,"['Quality', 'cable', '!']","['qualiti', 'cabl', '!']","['Quality', 'cable', '!']"
24,"I Got Great Pricing, But Still a Really Good Product","['I', 'Got', 'Great', 'Pricing', ',', 'But', 'Still', 'a', 'Really', 'Good', 'Product']","['i', 'got', 'great', 'price', ',', 'but', 'still', 'a', 'realli', 'good', 'product']","['I', 'Got', 'Great', 'Pricing', ',', 'But', 'Still', 'a', 'Really', 'Good', 'Product']"
25,Its a Hosa,"['Its', 'a', 'Hosa']","['it', 'a', 'hosa']","['Its', 'a', 'Hosa']"
26,Quality and Secure,"['Quality', 'and', 'Secure']","['qualiti', 'and', 'secur']","['Quality', 'and', 'Secure']"
27,Midi to Midi,"['Midi', 'to', 'Midi']","['midi', 'to', 'midi']","['Midi', 'to', 'Midi']"
28,Very Heavy Cables At Affordable Price,"['Very', 'Heavy', 'Cables', 'At', 'Affordable', 'Price']","['veri', 'heavi', 'cabl', 'at', 'afford', 'price']","['Very', 'Heavy', 'Cables', 'At', 'Affordable', 'Price']"
29,Still going,"['Still', 'going']","['still', 'go']","['Still', 'going']"
30,Does what it's supposed to do,"['Does', 'what', 'it', ""'s"", 'supposed', 'to', 'do']","['doe', 'what', 'it', ""'s"", 'suppos', 'to', 'do']","['Does', 'what', 'it', ""'s"", 'supposed', 'to', 'do']"
31,Good cable,"['Good', 'cable']","['good', 'cabl']","['Good', 'cable']"
32,Good Enough,"['Good', 'Enough']","['good', 'enough']","['Good', 'Enough']"
33,Great little cord,"['Great', 'little', 'cord']","['great', 'littl', 'cord']","['Great', 'little', 'cord']"
34,Does the job. What more do you need?,"['Does', 'the', 'job', '.', 'What', 'more', 'do', 'you', 'need', '?']","['doe', 'the', 'job', '.', 'what', 'more', 'do', 'you', 'need', '?']","['Does', 'the', 'job', '.', 'What', 'more', 'do', 'you', 'need', '?']"
35,Decent mic cable,"['Decent', 'mic', 'cable']","['decent', 'mic', 'cabl']","['Decent', 'mic', 'cable']"
36,Decent inexpensive cable,"['Decent', 'inexpensive', 'cable']","['decent', 'inexpens', 'cabl']","['Decent', 'inexpensive', 'cable']"
37,a fine cable.,"['a', 'fine', 'cable', '.']","['a', 'fine', 'cabl', '.']","['a', 'fine', 'cable', '.']"
38,Hosa is the best,"['Hosa', 'is', 'the', 'best']","['hosa', 'is', 'the', 'best']","['Hosa', 'is', 'the', 'best']"
39,"Excellent quality, exactly what I needed","['Excellent', 'quality', ',', 'exactly', 'what', 'I', 'needed']","['excel', 'qualiti', ',', 'exactli', 'what', 'i', 'need']","['Excellent', 'quality', ',', 'exactly', 'what', 'I', 'needed']"
40,great value,"['great', 'value']","['great', 'valu']","['great', 'value']"
41,Five Stars,"['Five', 'Stars']","['five', 'star']","['Five', 'Stars']"
42,Pretty cheap cable that has lasted so far,"['Pretty', 'cheap', 'cable', 'that', 'has', 'lasted', 'so', 'far']","['pretti', 'cheap', 'cabl', 'that', 'ha', 'last', 'so', 'far']","['Pretty', 'cheap', 'cable', 'that', 'ha', 'lasted', 'so', 'far']"
43,very nice cable,"['very', 'nice', 'cable']","['veri', 'nice', 'cabl']","['very', 'nice', 'cable']"
44,"Nice guitar cable, even better price","['Nice', 'guitar', 'cable', ',', 'even', 'better', 'price']","['nice', 'guitar', 'cabl', ',', 'even', 'better', 'price']","['Nice', 'guitar', 'cable', ',', 'even', 'better', 'price']"
45,Does What You Want,"['Does', 'What', 'You', 'Want']","['doe', 'what', 'you', 'want']","['Does', 'What', 'You', 'Want']"
46,"flexible, soft rubber is great.","['flexible', ',', 'soft', 'rubber', 'is', 'great', '.']","['flexibl', ',', 'soft', 'rubber', 'is', 'great', '.']","['flexible', ',', 'soft', 'rubber', 'is', 'great', '.']"
47,"Works wonderfully, no noise","['Works', 'wonderfully', ',', 'no', 'noise']","['work', 'wonder', ',', 'no', 'nois']","['Works', 'wonderfully', ',', 'no', 'noise']"
48,excellent,['excellent'],['excel'],['excellent']
49,"Great Guitar Cable, Good Value - Highly Recommended","['Great', 'Guitar', 'Cable', ',', 'Good', 'Value', '-', 'Highly', 'Recommended']","['great', 'guitar', 'cabl', ',', 'good', 'valu', '-', 'highli', 'recommend']","['Great', 'Guitar', 'Cable', ',', 'Good', 'Value', '-', 'Highly', 'Recommended']"
50,Cannot recommend,"['Can', 'not', 'recommend']","['can', 'not', 'recommend']","['Can', 'not', 'recommend']"
51,Cable works as described,"['Cable', 'works', 'as', 'described']","['cabl', 'work', 'as', 'describ']","['Cable', 'work', 'a', 'described']"
52,I have bought many cables and this one is the only one that gives me problems,"['I', 'have', 'bought', 'many', 'cables', 'and', 'this', 'one', 'is', 'the', 'only', 'one', 'that', 'gives', 'me', 'problems']","['i', 'have', 'bought', 'mani', 'cabl', 'and', 'thi', 'one', 'is', 'the', 'onli', 'one', 'that', 'give', 'me', 'problem']","['I', 'have', 'bought', 'many', 'cable', 'and', 'this', 'one', 'is', 'the', 'only', 'one', 'that', 'give', 'me', 'problem']"
53,gets the job done,"['gets', 'the', 'job', 'done']","['get', 'the', 'job', 'done']","['get', 'the', 'job', 'done']"
54,Nice cable for the price,"['Nice', 'cable', 'for', 'the', 'price']","['nice', 'cabl', 'for', 'the', 'price']","['Nice', 'cable', 'for', 'the', 'price']"
55,Well made audio cable,"['Well', 'made', 'audio', 'cable']","['well', 'made', 'audio', 'cabl']","['Well', 'made', 'audio', 'cable']"
56,Eh,['Eh'],['eh'],['Eh']
57,"great, affordable, cord","['great', ',', 'affordable', ',', 'cord']","['great', ',', 'afford', ',', 'cord']","['great', ',', 'affordable', ',', 'cord']"
58,Nice Cable,"['Nice', 'Cable']","['nice', 'cabl']","['Nice', 'Cable']"
59,maybe not the best but it serves it's purpose,"['maybe', 'not', 'the', 'best', 'but', 'it', 'serves', 'it', ""'s"", 'purpose']","['mayb', 'not', 'the', 'best', 'but', 'it', 'serv', 'it', ""'s"", 'purpos']","['maybe', 'not', 'the', 'best', 'but', 'it', 'serf', 'it', ""'s"", 'purpose']"
60,High quality low cost,"['High', 'quality', 'low', 'cost']","['high', 'qualiti', 'low', 'cost']","['High', 'quality', 'low', 'cost']"
61,works as advertised....,"['works', 'as', 'advertised', '....']","['work', 'as', 'advertis', '....']","['work', 'a', 'advertised', '....']"
62,Good cables,"['Good', 'cables']","['good', 'cabl']","['Good', 'cable']"
63,No Complaints,"['No', 'Complaints']","['no', 'complaint']","['No', 'Complaints']"
64,Good Quality,"['Good', 'Quality']","['good', 'qualiti']","['Good', 'Quality']"
65,Perfect for practice!,"['Perfect', 'for', 'practice', '!']","['perfect', 'for', 'practic', '!']","['Perfect', 'for', 'practice', '!']"
66,Nice high quality guitar cable,"['Nice', 'high', 'quality', 'guitar', 'cable']","['nice', 'high', 'qualiti', 'guitar', 'cabl']","['Nice', 'high', 'quality', 'guitar', 'cable']"
67,Works well,"['Works', 'well']","['work', 'well']","['Works', 'well']"
68,Well built cable,"['Well', 'built', 'cable']","['well', 'built', 'cabl']","['Well', 'built', 'cable']"
69,pperfect amp chord.for home use,"['pperfect', 'amp', 'chord.for', 'home', 'use']","['pperfect', 'amp', 'chord.for', 'home', 'use']","['pperfect', 'amp', 'chord.for', 'home', 'use']"
70,Hosa Cable GTR210 Guitar Instrument Cable - 10ft.,"['Hosa', 'Cable', 'GTR210', 'Guitar', 'Instrument', 'Cable', '-', '10ft', '.']","['hosa', 'cabl', 'gtr210', 'guitar', 'instrument', 'cabl', '-', '10ft', '.']","['Hosa', 'Cable', 'GTR210', 'Guitar', 'Instrument', 'Cable', '-', '10ft', '.']"
71,Standard guitar cable,"['Standard', 'guitar', 'cable']","['standard', 'guitar', 'cabl']","['Standard', 'guitar', 'cable']"
72,Hosa Electric Guitar Cable GTR210,"['Hosa', 'Electric', 'Guitar', 'Cable', 'GTR210']","['hosa', 'electr', 'guitar', 'cabl', 'gtr210']","['Hosa', 'Electric', 'Guitar', 'Cable', 'GTR210']"
73,So Far So Good,"['So', 'Far', 'So', 'Good']","['so', 'far', 'so', 'good']","['So', 'Far', 'So', 'Good']"
74,average cable,"['average', 'cable']","['averag', 'cabl']","['average', 'cable']"
75,"Good quality, low price","['Good', 'quality', ',', 'low', 'price']","['good', 'qualiti', ',', 'low', 'price']","['Good', 'quality', ',', 'low', 'price']"
76,Good for the Price,"['Good', 'for', 'the', 'Price']","['good', 'for', 'the', 'price']","['Good', 'for', 'the', 'Price']"
77,"Feel a little flimsy and can see easily breaking, but the work","['Feel', 'a', 'little', 'flimsy', 'and', 'can', 'see', 'easily', 'breaking', ',', 'but', 'the', 'work']","['feel', 'a', 'littl', 'flimsi', 'and', 'can', 'see', 'easili', 'break', ',', 'but', 'the', 'work']","['Feel', 'a', 'little', 'flimsy', 'and', 'can', 'see', 'easily', 'breaking', ',', 'but', 'the', 'work']"
78,Excellent,['Excellent'],['excel'],['Excellent']
79,Only complaint is the size which is my fault. ...,"['Only', 'complaint', 'is', 'the', 'size', 'which', 'is', 'my', 'fault', '.', '...']","['onli', 'complaint', 'is', 'the', 'size', 'which', 'is', 'my', 'fault', '.', '...']","['Only', 'complaint', 'is', 'the', 'size', 'which', 'is', 'my', 'fault', '.', '...']"
80,worth it,"['worth', 'it']","['worth', 'it']","['worth', 'it']"
81,Works,['Works'],['work'],['Works']
82,"Good quality, great price","['Good', 'quality', ',', 'great', 'price']","['good', 'qualiti', ',', 'great', 'price']","['Good', 'quality', ',', 'great', 'price']"
83,Very good quality for an excellent price,"['Very', 'good', 'quality', 'for', 'an', 'excellent', 'price']","['veri', 'good', 'qualiti', 'for', 'an', 'excel', 'price']","['Very', 'good', 'quality', 'for', 'an', 'excellent', 'price']"
84,Good cables at a good price!!,"['Good', 'cables', 'at', 'a', 'good', 'price', '!', '!']","['good', 'cabl', 'at', 'a', 'good', 'price', '!', '!']","['Good', 'cable', 'at', 'a', 'good', 'price', '!', '!']"
85,"works well, great quality","['works', 'well', ',', 'great', 'quality']","['work', 'well', ',', 'great', 'qualiti']","['work', 'well', ',', 'great', 'quality']"
86,Great Value,"['Great', 'Value']","['great', 'valu']","['Great', 'Value']"
87,Good cables,"['Good', 'cables']","['good', 'cabl']","['Good', 'cable']"
88,Very Solid Cables,"['Very', 'Solid', 'Cables']","['veri', 'solid', 'cabl']","['Very', 'Solid', 'Cables']"
89,Crap,['Crap'],['crap'],['Crap']
90,Works Good. No complaints!!!,"['Works', 'Good', '.', 'No', 'complaints', '!', '!', '!']","['work', 'good', '.', 'no', 'complaint', '!', '!', '!']","['Works', 'Good', '.', 'No', 'complaint', '!', '!', '!']"
91,Good guitar cable,"['Good', 'guitar', 'cable']","['good', 'guitar', 'cabl']","['Good', 'guitar', 'cable']"
92,hosa rocks,"['hosa', 'rocks']","['hosa', 'rock']","['hosa', 'rock']"
93,Does Its Job,"['Does', 'Its', 'Job']","['doe', 'it', 'job']","['Does', 'Its', 'Job']"
94,good for direct connect to computer,"['good', 'for', 'direct', 'connect', 'to', 'computer']","['good', 'for', 'direct', 'connect', 'to', 'comput']","['good', 'for', 'direct', 'connect', 'to', 'computer']"
95,Does what it was intended for,"['Does', 'what', 'it', 'was', 'intended', 'for']","['doe', 'what', 'it', 'wa', 'intend', 'for']","['Does', 'what', 'it', 'wa', 'intended', 'for']"
96,Works as expected,"['Works', 'as', 'expected']","['work', 'as', 'expect']","['Works', 'a', 'expected']"
97,Good for some uses,"['Good', 'for', 'some', 'uses']","['good', 'for', 'some', 'use']","['Good', 'for', 'some', 'us']"
98,Measure your damned wires before sending them...,"['Measure', 'your', 'damned', 'wires', 'before', 'sending', 'them', '...']","['measur', 'your', 'damn', 'wire', 'befor', 'send', 'them', '...']","['Measure', 'your', 'damned', 'wire', 'before', 'sending', 'them', '...']"
99,Recommend,['Recommend'],['recommend'],['Recommend']
100,"Product shipd as expected, but the listing for this item can be confusing","['Product', 'shipd', 'as', 'expected', ',', 'but', 'the', 'listing', 'for', 'this', 'item', 'can', 'be', 'confusing']","['product', 'shipd', 'as', 'expect', ',', 'but', 'the', 'list', 'for', 'thi', 'item', 'can', 'be', 'confus']","['Product', 'shipd', 'a', 'expected', ',', 'but', 'the', 'listing', 'for', 'this', 'item', 'can', 'be', 'confusing']"
101,Solved a big issue for me,"['Solved', 'a', 'big', 'issue', 'for', 'me']","['solv', 'a', 'big', 'issu', 'for', 'me']","['Solved', 'a', 'big', 'issue', 'for', 'me']"
102,Good adapter cable,"['Good', 'adapter', 'cable']","['good', 'adapt', 'cabl']","['Good', 'adapter', 'cable']"
103,Light Weight Cable For Stereo Mics With Limitations,"['Light', 'Weight', 'Cable', 'For', 'Stereo', 'Mics', 'With', 'Limitations']","['light', 'weight', 'cabl', 'for', 'stereo', 'mic', 'with', 'limit']","['Light', 'Weight', 'Cable', 'For', 'Stereo', 'Mics', 'With', 'Limitations']"
104,Good construction,"['Good', 'construction']","['good', 'construct']","['Good', 'construction']"
105,Nice Cables,"['Nice', 'Cables']","['nice', 'cabl']","['Nice', 'Cables']"
106,Perfect.,"['Perfect', '.']","['perfect', '.']","['Perfect', '.']"
107,GOOD INSERT CABLE,"['GOOD', 'INSERT', 'CABLE']","['good', 'insert', 'cabl']","['GOOD', 'INSERT', 'CABLE']"
108,Excellent Insert Cable,"['Excellent', 'Insert', 'Cable']","['excel', 'insert', 'cabl']","['Excellent', 'Insert', 'Cable']"
109,They work great,"['They', 'work', 'great']","['they', 'work', 'great']","['They', 'work', 'great']"
110,I needed this for returns,"['I', 'needed', 'this', 'for', 'returns']","['i', 'need', 'thi', 'for', 'return']","['I', 'needed', 'this', 'for', 'return']"
111,Soundman must have insert cables,"['Soundman', 'must', 'have', 'insert', 'cables']","['soundman', 'must', 'have', 'insert', 'cabl']","['Soundman', 'must', 'have', 'insert', 'cable']"
112,Good price vs. value. Works great for my home studio,"['Good', 'price', 'vs.', 'value', '.', 'Works', 'great', 'for', 'my', 'home', 'studio']","['good', 'price', 'vs.', 'valu', '.', 'work', 'great', 'for', 'my', 'home', 'studio']","['Good', 'price', 'vs.', 'value', '.', 'Works', 'great', 'for', 'my', 'home', 'studio']"
113,"Just the right product, just the right price","['Just', 'the', 'right', 'product', ',', 'just', 'the', 'right', 'price']","['just', 'the', 'right', 'product', ',', 'just', 'the', 'right', 'price']","['Just', 'the', 'right', 'product', ',', 'just', 'the', 'right', 'price']"
114,Use to Plug I-Pod into Guitar Amp,"['Use', 'to', 'Plug', 'I-Pod', 'into', 'Guitar', 'Amp']","['use', 'to', 'plug', 'i-pod', 'into', 'guitar', 'amp']","['Use', 'to', 'Plug', 'I-Pod', 'into', 'Guitar', 'Amp']"
115,plugged it in and it works,"['plugged', 'it', 'in', 'and', 'it', 'works']","['plug', 'it', 'in', 'and', 'it', 'work']","['plugged', 'it', 'in', 'and', 'it', 'work']"
116,Sound Engineer's Solution,"['Sound', 'Engineer', ""'s"", 'Solution']","['sound', 'engin', ""'s"", 'solut']","['Sound', 'Engineer', ""'s"", 'Solution']"
117,The exact cable I need for my application,"['The', 'exact', 'cable', 'I', 'need', 'for', 'my', 'application']","['the', 'exact', 'cabl', 'i', 'need', 'for', 'my', 'applic']","['The', 'exact', 'cable', 'I', 'need', 'for', 'my', 'application']"
118,Almost 5-Stars for the Price,"['Almost', '5-Stars', 'for', 'the', 'Price']","['almost', '5-star', 'for', 'the', 'price']","['Almost', '5-Stars', 'for', 'the', 'Price']"
119,It works!,"['It', 'works', '!']","['it', 'work', '!']","['It', 'work', '!']"
120,"Works good, good price","['Works', 'good', ',', 'good', 'price']","['work', 'good', ',', 'good', 'price']","['Works', 'good', ',', 'good', 'price']"
121,"Inexpensive, not cheap","['Inexpensive', ',', 'not', 'cheap']","['inexpens', ',', 'not', 'cheap']","['Inexpensive', ',', 'not', 'cheap']"
122,Good,['Good'],['good'],['Good']
123,Does the job,"['Does', 'the', 'job']","['doe', 'the', 'job']","['Does', 'the', 'job']"
124,Great pedal cable connectors!,"['Great', 'pedal', 'cable', 'connectors', '!']","['great', 'pedal', 'cabl', 'connector', '!']","['Great', 'pedal', 'cable', 'connector', '!']"
125,Great Durable Pedal Cable,"['Great', 'Durable', 'Pedal', 'Cable']","['great', 'durabl', 'pedal', 'cabl']","['Great', 'Durable', 'Pedal', 'Cable']"
126,Works great,"['Works', 'great']","['work', 'great']","['Works', 'great']"
127,Good cables,"['Good', 'cables']","['good', 'cabl']","['Good', 'cable']"
128,Works just fine,"['Works', 'just', 'fine']","['work', 'just', 'fine']","['Works', 'just', 'fine']"
129,"good product, still use it, hassle-free order","['good', 'product', ',', 'still', 'use', 'it', ',', 'hassle-free', 'order']","['good', 'product', ',', 'still', 'use', 'it', ',', 'hassle-fre', 'order']","['good', 'product', ',', 'still', 'use', 'it', ',', 'hassle-free', 'order']"
130,Good Budget Cable,"['Good', 'Budget', 'Cable']","['good', 'budget', 'cabl']","['Good', 'Budget', 'Cable']"
131,just what you pay for,"['just', 'what', 'you', 'pay', 'for']","['just', 'what', 'you', 'pay', 'for']","['just', 'what', 'you', 'pay', 'for']"
132,Just right.,"['Just', 'right', '.']","['just', 'right', '.']","['Just', 'right', '.']"
133,"Decent connector, decent price","['Decent', 'connector', ',', 'decent', 'price']","['decent', 'connector', ',', 'decent', 'price']","['Decent', 'connector', ',', 'decent', 'price']"
134,Reliable and Great,"['Reliable', 'and', 'Great']","['reliabl', 'and', 'great']","['Reliable', 'and', 'Great']"
135,No frill cordage...,"['No', 'frill', 'cordage', '...']","['no', 'frill', 'cordag', '...']","['No', 'frill', 'cordage', '...']"
136,great,['great'],['great'],['great']
137,Possibly better than the metal ended ones,"['Possibly', 'better', 'than', 'the', 'metal', 'ended', 'ones']","['possibl', 'better', 'than', 'the', 'metal', 'end', 'one']","['Possibly', 'better', 'than', 'the', 'metal', 'ended', 'one']"
138,"Nice tool, although not a transformer balancing device","['Nice', 'tool', ',', 'although', 'not', 'a', 'transformer', 'balancing', 'device']","['nice', 'tool', ',', 'although', 'not', 'a', 'transform', 'balanc', 'devic']","['Nice', 'tool', ',', 'although', 'not', 'a', 'transformer', 'balancing', 'device']"
139,Versatility...,"['Versatility', '...']","['versatil', '...']","['Versatility', '...']"
140,No problems,"['No', 'problems']","['no', 'problem']","['No', 'problem']"
141,A quality adapter,"['A', 'quality', 'adapter']","['a', 'qualiti', 'adapt']","['A', 'quality', 'adapter']"
142,It works,"['It', 'works']","['it', 'work']","['It', 'work']"
143,Gets the job done,"['Gets', 'the', 'job', 'done']","['get', 'the', 'job', 'done']","['Gets', 'the', 'job', 'done']"
144,Not what I thought,"['Not', 'what', 'I', 'thought']","['not', 'what', 'i', 'thought']","['Not', 'what', 'I', 'thought']"
145,Its Affordable and it works.,"['Its', 'Affordable', 'and', 'it', 'works', '.']","['it', 'afford', 'and', 'it', 'work', '.']","['Its', 'Affordable', 'and', 'it', 'work', '.']"
146,Can't beat it,"['Ca', ""n't"", 'beat', 'it']","['ca', ""n't"", 'beat', 'it']","['Ca', ""n't"", 'beat', 'it']"
147,Works as intended,"['Works', 'as', 'intended']","['work', 'as', 'intend']","['Works', 'a', 'intended']"
148,"Nice utility, wish it had a little more length on the split cable","['Nice', 'utility', ',', 'wish', 'it', 'had', 'a', 'little', 'more', 'length', 'on', 'the', 'split', 'cable']","['nice', 'util', ',', 'wish', 'it', 'had', 'a', 'littl', 'more', 'length', 'on', 'the', 'split', 'cabl']","['Nice', 'utility', ',', 'wish', 'it', 'had', 'a', 'little', 'more', 'length', 'on', 'the', 'split', 'cable']"
149,Great Y cable,"['Great', 'Y', 'cable']","['great', 'y', 'cabl']","['Great', 'Y', 'cable']"
150,Does what it needs to.,"['Does', 'what', 'it', 'needs', 'to', '.']","['doe', 'what', 'it', 'need', 'to', '.']","['Does', 'what', 'it', 'need', 'to', '.']"
151,Great cables,"['Great', 'cables']","['great', 'cabl']","['Great', 'cable']"
152,Nice.,"['Nice', '.']","['nice', '.']","['Nice', '.']"
153,Great Product for running a clean separate line of audio,"['Great', 'Product', 'for', 'running', 'a', 'clean', 'separate', 'line', 'of', 'audio']","['great', 'product', 'for', 'run', 'a', 'clean', 'separ', 'line', 'of', 'audio']","['Great', 'Product', 'for', 'running', 'a', 'clean', 'separate', 'line', 'of', 'audio']"
154,This product works great!!!!  Worth the extra money!!,"['This', 'product', 'works', 'great', '!', '!', '!', '!', 'Worth', 'the', 'extra', 'money', '!', '!']","['thi', 'product', 'work', 'great', '!', '!', '!', '!', 'worth', 'the', 'extra', 'money', '!', '!']","['This', 'product', 'work', 'great', '!', '!', '!', '!', 'Worth', 'the', 'extra', 'money', '!', '!']"
155,Magic Spray!,"['Magic', 'Spray', '!']","['magic', 'spray', '!']","['Magic', 'Spray', '!']"
156,Works well!,"['Works', 'well', '!']","['work', 'well', '!']","['Works', 'well', '!']"
157,There used to be better stuff,"['There', 'used', 'to', 'be', 'better', 'stuff']","['there', 'use', 'to', 'be', 'better', 'stuff']","['There', 'used', 'to', 'be', 'better', 'stuff']"
158,A Five Ounce Can Of Magic.,"['A', 'Five', 'Ounce', 'Can', 'Of', 'Magic', '.']","['a', 'five', 'ounc', 'can', 'of', 'magic', '.']","['A', 'Five', 'Ounce', 'Can', 'Of', 'Magic', '.']"
159,It's magic in a can,"['It', ""'s"", 'magic', 'in', 'a', 'can']","['it', ""'s"", 'magic', 'in', 'a', 'can']","['It', ""'s"", 'magic', 'in', 'a', 'can']"
160,Used it on my printer cartridge,"['Used', 'it', 'on', 'my', 'printer', 'cartridge']","['use', 'it', 'on', 'my', 'printer', 'cartridg']","['Used', 'it', 'on', 'my', 'printer', 'cartridge']"
161,Just what I needed,"['Just', 'what', 'I', 'needed']","['just', 'what', 'i', 'need']","['Just', 'what', 'I', 'needed']"
162,Scratchy bass guitar pot scratchy no more,"['Scratchy', 'bass', 'guitar', 'pot', 'scratchy', 'no', 'more']","['scratchi', 'bass', 'guitar', 'pot', 'scratchi', 'no', 'more']","['Scratchy', 'bass', 'guitar', 'pot', 'scratchy', 'no', 'more']"
163,This stuff is great,"['This', 'stuff', 'is', 'great']","['thi', 'stuff', 'is', 'great']","['This', 'stuff', 'is', 'great']"
164,kinda worked kinda didn't,"['kinda', 'worked', 'kinda', 'did', ""n't""]","['kinda', 'work', 'kinda', 'did', ""n't""]","['kinda', 'worked', 'kinda', 'did', ""n't""]"
165,Works on potentiometers,"['Works', 'on', 'potentiometers']","['work', 'on', 'potentiomet']","['Works', 'on', 'potentiometer']"
166,Good stuff,"['Good', 'stuff']","['good', 'stuff']","['Good', 'stuff']"
167,Cleaned the pots on my bass just fine.,"['Cleaned', 'the', 'pots', 'on', 'my', 'bass', 'just', 'fine', '.']","['clean', 'the', 'pot', 'on', 'my', 'bass', 'just', 'fine', '.']","['Cleaned', 'the', 'pot', 'on', 'my', 'bass', 'just', 'fine', '.']"
168,Good usable mic,"['Good', 'usable', 'mic']","['good', 'usabl', 'mic']","['Good', 'usable', 'mic']"
169,good microphone,"['good', 'microphone']","['good', 'microphon']","['good', 'microphone']"
170,Very Satisfied...,"['Very', 'Satisfied', '...']","['veri', 'satisfi', '...']","['Very', 'Satisfied', '...']"
